country,sex,age,education,ethnicity,vigilante,income,victim,coup_support,neighbor_crime
Mexico,Female,46,5,Indigenous,7,2,0,1,0
Mexico,Male,84,9,Indigenous,7,9,0,0,0
Mexico,Male,30,14,Mestizo,9,NA,1,0,1
Mexico,Male,37,9,Mestizo,2,5,1,1,0
Mexico,Female,32,12,Mestizo,1,13,0,1,1
Mexico,Male,49,17,Mestizo,1,13,1,0,1
Mexico,Male,37,16,White,10,NA,0,1,1
Mexico,Male,85,12,White,1,11,0,1,0
Mexico,Male,30,16,Mestizo,3,11,1,0,0
Mexico,Male,39,17,Mestizo,2,15,1,1,0
Mexico,Female,24,9,White,2,12,0,0,0
Mexico,Female,27,16,Mestizo,8,9,0,0,0
Mexico,Male,27,9,Mestizo,8,10,0,1,1
Mexico,Female,41,0,Mestizo,10,2,0,0,1
Mexico,Female,19,14,Mestizo,2,9,0,0,0
Mexico,Male,54,6,White,1,15,1,0,0
Mexico,Male,26,10,Mestizo,9,9,0,1,0
Mexico,Female,46,16,White,1,16,0,0,0
Mexico,Female,24,12,White,10,10,0,0,1
Mexico,Male,46,12,Indigenous,1,11,0,1,0
Mexico,Male,50,18,Mestizo,5,NA,1,0,1
Mexico,Female,30,8,Don't Know,6,NA,0,0,0
Mexico,Male,40,16,Indigenous,2,16,1,1,1
Mexico,Female,39,11,Mestizo,1,NA,1,0,0
Mexico,Female,58,0,Don't Know,6,10,0,0,1
Mexico,Male,36,12,Mestizo,5,12,0,1,0
Mexico,Male,42,12,Indigenous,4,11,0,1,0
Mexico,Male,29,9,Mestizo,5,3,0,0,0
Mexico,Female,51,12,Mestizo,3,12,1,1,0
Mexico,Female,72,9,Mestizo,3,NA,0,0,0
Mexico,Male,36,9,Mestizo,3,6,0,0,1
Mexico,Male,45,2,Don't Know,3,NA,0,0,0
Mexico,Female,50,12,White,5,9,1,0,0
Mexico,Female,45,16,Mestizo,4,NA,0,0,1
Mexico,Male,NA,0,Mulatto,10,11,0,1,0
Mexico,Female,22,12,Mestizo,10,6,0,0,0
Mexico,Female,60,9,Mestizo,1,4,0,NA,0
Mexico,Male,30,9,Indigenous,6,8,0,NA,0
Mexico,Male,47,6,Mestizo,1,6,0,NA,0
Mexico,Female,21,9,White,5,NA,0,1,NA
Mexico,Female,73,9,White,1,15,0,0,0
Mexico,Female,43,12,Mestizo,5,9,0,0,0
Mexico,Female,36,6,Mestizo,1,NA,0,0,0
Mexico,Male,31,9,White,8,4,0,1,0
Mexico,Female,24,16,White,5,NA,0,0,0
Mexico,Male,35,6,Mestizo,5,11,0,1,0
Mexico,Male,40,6,Don't Know,1,15,0,0,0
Mexico,Male,40,12,Mestizo,10,NA,0,1,0
Mexico,Male,43,9,Mestizo,1,7,0,0,NA
Mexico,Female,65,4,Mestizo,3,11,0,1,0
Mexico,Male,38,9,Indigenous,1,9,0,1,0
Mexico,Male,36,12,Mestizo,10,16,0,1,0
Mexico,Male,20,12,Other,4,3,0,0,1
Mexico,Male,74,3,Mestizo,5,11,0,0,0
Mexico,Male,21,14,Mestizo,5,11,1,1,0
Mexico,Male,32,17,Mestizo,1,15,1,0,0
Mexico,Male,54,9,Mestizo,1,10,0,0,0
Mexico,Female,67,1,White,1,3,0,1,0
Mexico,Female,75,6,Mestizo,NA,NA,0,NA,0
Mexico,Female,53,9,Mestizo,1,NA,0,0,0
Mexico,Female,22,9,Mestizo,4,NA,0,0,0
Mexico,Female,45,5,Mestizo,4,6,0,0,0
Mexico,Male,43,9,Mestizo,1,15,0,0,0
Mexico,Male,69,2,Indigenous,1,NA,0,0,0
Mexico,Female,45,9,White,4,8,0,1,0
Mexico,Male,36,9,Mestizo,5,9,0,1,1
Mexico,Female,26,9,Indigenous,2,6,0,1,0
Mexico,Male,27,12,Mestizo,1,10,1,0,1
Mexico,Male,24,11,Indigenous,10,10,0,1,0
