leader,startdate,enddate,angloedu,westedu,noedu,polity2change,BMRtransition,ethfrac,britcolony,igdp,ioil,usally,studentflowthousand
Flores Facusse,27/01/1998,27/01/2002,1,1,0,1,0,0.16173255443572998,0,0.0233314990234375,0,0,0.9120000004768372
"Flores, Francisco",01/06/1999,01/06/2004,1,1,0,0,0,0.16591870784759521,0,0.046311298828125,0,0,0.06300000101327896
Franjieh,23/09/1970,23/09/1976,0,0,1,-2,1,0.13480514287948608,0,0.03588050048828125,0,0,0.9210000038146973
Frondizi,01/05/1958,29/03/1962,0,0,0,0,1,0.30731916427612305,0,0.0749981982421875,0,1,0.2619999945163727
Fujimori,28/07/1990,22/11/2000,1,1,0,-6,0,0.5896865129470825,0,0.03748429931640625,0,1,2.4769999980926514
Galvez,01/01/1949,15/01/1954,0,0,1,0,0,0.16173255443572998,0,0.01795469970703125,0,1,0.12300000339746475
"Gandhi, I.",24/01/1966,22/03/1977,1,1,0,-2,0,0.8864781856536865,1,0.009953599853515625,0,1,6.813000202178955
"Gandhi, I.",14/01/1980,31/10/1984,1,1,0,0,0,0.8864781856536865,1,0.012861700439453125,0,1,6.5879998207092285
"Gandhi, R.",31/10/1984,02/12/1989,1,1,0,0,0,0.8864781856536865,1,0.014545799560546874,0,1,11.753999710083008
Garcia,17/03/1957,14/11/1961,0,0,0,0,0,0.745177149772644,0,0.019002900390625,0,1,1.7029999494552612
Garcia Perez,28/07/1985,28/07/1990,0,1,0,0,0,0.5896865129470825,0,0.0430902978515625,0,1,1.7719999551773071
Gayoom,11/11/1978,31/12/2004,0,0,0,NA,0,NA,1,0.010660600585937501,NA,0,0
Geisel,15/03/1974,15/03/1979,0,0,1,5,0,0.07058024406433105,0,0.05157259765625,0,1,1.559999942779541
"Gemayel, Amin",23/09/1982,23/09/1988,0,0,0,0,0,0.13480514287948608,0,0.03588050048828125,0,0,5.440999984741211
Georghiu-Dej,30/12/1947,19/03/1965,0,0,1,0,NA,0.2521630525588989,0,0.012763800048828124,0,0,0
Georgievski,30/11/1998,01/11/2002,0,0,0,0,0,0.5095635056495667,0,0.04758580078125,0,0,0.18199999630451202
Gerard Kango Ouedraogo,13/01/1971,08/02/1974,0,0,1,0,0,0.6782554388046265,0,0.006904000244140625,0,0,0.007000000216066837
Girija Prasad Koirala,26/05/1991,30/11/1994,0,0,1,0,1,0.6992368698120117,0,0.011058199462890626,0,0,0.6000000238418579
Gloria Macapagal-Arroyo,21/01/2001,31/12/2004,1,1,0,0,0,0.745177149772644,0,0.038256201171875,0,0,3.1429998874664307
Godmanis,03/05/1990,03/08/1993,0,0,0,0,NA,0.609375,0,0.0690523,0,0,0
Goh Chok Tong,28/11/1990,12/08/2004,1,1,0,0,0,0.4193829894065857,1,0.18094769531250002,0,0,4.00600004196167
Gonzalez Macchi,28/03/1999,15/08/2003,0,0,0,1,0,0.1449223756790161,0,0.0512125,0,0,0.2939999997615814
Gonzalo Sanchez de Lozada,06/08/1993,06/08/1997,1,1,0,0,0,0.678132951259613,0,0.025981999511718753,0,0,0.7070000171661377
Gorbachev,11/03/1985,21/08/1991,0,0,0,7,0,0.33309298753738403,0,0.099637099609375,1,1,0.19599999487400055
Gouled Aptidon,27/06/1977,08/05/1999,0,0,1,2,NA,0.6933391094207764,0,0.021732,0,0,0
Gowon,29/07/1966,29/07/1975,0,0,1,-14,0,0.868931770324707,1,0.010266999511718751,0,0,1.3819999694824219
Grunitzky,16/01/1963,13/01/1967,0,1,0,0,0,0.7106902599334717,0,0.009088099975585937,0,0,0.017000000923871994
"Guardia Jr., E.",01/10/1956,01/10/1960,1,1,0,0,0,0.26085156202316284,0,0.0227725,1,1,0.4490000009536743
Guelleh,08/05/1999,31/12/2004,0,0,1,8,0,0.6933391094207764,0,0.030107099609375,0,0,0.006000000052154064
Guillermo-Leon,07/08/1962,07/08/1966,0,0,0,0,0,0.06015270948410034,0,0.02882080078125,0,1,0.6700000166893005
Guzman Fernandez,01/07/1978,04/07/1982,0,0,1,9,0,0.036988794803619385,0,0.035191298828125,0,1,0.3199999928474426
H. Aliyev,24/06/1993,04/08/2003,0,0,0,-8,0,0.3035241365432739,0,0.033045300292968746,1,0,0.02800000086426735
Habre,19/06/1982,02/12/1990,0,1,0,-7,0,0.8262728452682495,0,0.006191300048828124,0,0,0.017000000923871994
Habyarimana,05/07/1973,06/04/1994,0,0,0,-2,0,0.12921082973480225,0,0.009892999877929689,0,0,0.0020000000949949026
Hamad Isa Ibn Al-Khalifah,06/03/1999,31/12/2004,0,0,1,2,0,0.263893723487854,1,0.170525390625,1,0,0.42100000381469727
Hamid Karzai,22/12/2001,31/12/2004,0,0,0,NA,NA,0.6582809686660767,0,0.004781000061035156,0,0,0.10999999940395355
Hasina Wazed,23/06/1996,15/07/2001,0,0,0,0,0,0.004975080490112305,1,0.016137199707031247,0,0,3.359999895095825
Hassan Al-Bakr,17/07/1968,16/07/1979,0,0,1,-2,0,0.36247116327285767,1,0.0561875,1,1,0.7379999756813049
Hassan II,26/02/1961,23/07/1999,0,1,0,-1,0,0.5340092182159424,0,0.0129877001953125,0,0,0.05900000035762787
Hassanal Bolkiah,04/10/1967,31/12/2004,0,0,1,NA,NA,NA,1,0.3402412,NA,0,0
Helou,23/09/1964,23/09/1970,0,0,0,0,0,0.13480514287948608,0,0.03588050048828125,0,0,0.6019999980926514
Heng Samrin,07/01/1979,14/01/1985,0,0,1,NA,0,0.2969233989715576,0,0.02070159912109375,0,1,0.0989999994635582
Hipolito Mejia,17/08/2000,16/08/2004,1,1,0,0,0,0.036988794803619385,0,0.0617106982421875,0,0,0.8489999771118164
Houphouet-Boigny,07/08/1960,07/12/1993,0,0,0,2,NA,0.8592934608459473,0,0.01334,0,0,0
Hoyte,06/08/1985,09/10/1992,1,1,0,0,0,0.5838412046432495,1,0.0267385009765625,0,0,0.5389999747276306
Hua Guofeng,07/10/1976,10/09/1980,0,0,1,1,0,0.11845237016677856,0,0.005886799926757813,0,1,0.02199999988079071
Hugo Chavez,02/02/1999,31/12/2004,0,0,1,-2,0,0.10734701156616211,0,0.0769564013671875,1,0,0.2840000092983246
Hun Sen,14/01/1985,21/09/1993,0,0,1,NA,0,0.2969233989715576,0,0.03306679931640625,0,1,0.23199999332427979
Hun Sen,06/07/1997,31/12/2004,0,0,1,1,0,0.2969233989715576,0,0.02150070068359375,0,0,0.0989999994635582
Hurtado Larrea,24/05/1981,10/08/1984,0,0,0,0,0,0.53385329246521,0,0.05024580078125,1,1,1.059000015258789
Hussein Bin Onn,14/01/1976,16/07/1981,1,1,0,0,0,0.6515210866928101,1,0.0370406005859375,0,0,1.2710000276565552
Hussein Ibn Talal El-Hashim,11/08/1952,07/02/1999,0,0,1,2,0,0.046628594398498535,1,0.03129419921875,0,0,0.17900000512599945
Ibn Yahya Hamid,13/03/1948,18/09/1962,0,0,1,1,0,0.037243664264678955,1,0.010772700195312498,0,0,0
