groupid,name,year,failure,allies,alliesties,size,religious,ethnic,logpop,namerica,latamerica,ssafrica,meast,asia,cinc,civilwar,decap,spline1,spline2,spline3,democracy,interact,interact_allies,lgdp,gdpb,popt,gdppercap,size1,size2,size3
435,Popular Front for the Liberation of Palestine-GC (PFLP-GC),1996,0,5,0.03597095608711243,1,0,1,8.615139961242676,0,0,0,1,0,0.004352400079369545,1,0,-391.5,-459,-283.5,1,0,0,25.423355102539062,109.95700073242188,5514.5205078125,19939540,1,0,0
435,Popular Front for the Liberation of Palestine-GC (PFLP-GC),1997,0,5,0.03597095608711243,1,0,1,8.641195297241211,0,0,0,1,0,0.0044963001273572445,0,0,-490.33331298828125,-602.66668701171875,-388.8888854980469,1,0,0,25.465803146362305,114.7249984741211,5660.09130859375,20269108,1,0,0
435,Popular Front for the Liberation of Palestine-GC (PFLP-GC),1998,0,4,0.03464994207024574,1,0,1,8.667116165161133,0,0,0,1,0,0.004086200147867203,0,0,-597.1666259765625,-762.33331298828125,-517.611083984375,1,0,0,25.476675033569336,115.97899627685547,5808.7236328125,19966348,1,0,0
435,Popular Front for the Liberation of Palestine-GC (PFLP-GC),1999,0,4,0.03464994207024574,1,0,1,8.692874908447266,0,0,0,1,0,0.003961400128901005,0,0,-711,-936,-671,1,0,0,25.487062454223633,117.19000244140625,5960.29296875,19661786,1,0,0
435,Popular Front for the Liberation of Palestine-GC (PFLP-GC),2000,0,4,0.03464994207024574,1,0,1,8.7184295654296875,0,0,0,1,0,0.004063299857079983,1,0,-830.8333740234375,-1121.6666259765625,-846.388916015625,1,0,0,25.608633041381836,132.33900451660156,6114.56884765625,21643226,1,0,0
435,Popular Front for the Liberation of Palestine-GC (PFLP-GC),2001,0,4,0.03464994207024574,1,0,1,8.740550994873047,0,0,0,1,0,0.004202200099825859,1,0,-955.666748046875,-1317.3333740234375,-1040.111083984375,1,0,0,25.596216201782227,130.70599365234375,6251.33935546875,20908480,1,0,0
435,Popular Front for the Liberation of Palestine-GC (PFLP-GC),2002,0,4,0.03464994207024574,1,0,1,8.759282112121582,0,0,0,1,0,0.003964399918913841,1,0,-1084.5,-1521,-1248.5,1,0,0,25.51962661743164,121.06900024414062,6369.537109375,19007504,1,0,0
435,Popular Front for the Liberation of Palestine-GC (PFLP-GC),2003,0,3,0.03464994207024574,1,0,1,8.778313636779785,0,0,0,1,0,0.0038610000628978014,1,0,-1216.333251953125,-1730.666748046875,-1467.888916015625,1,0,0,25.566389083862305,126.86499786376953,6491.92041015625,19541984,1,0,0
435,Popular Front for the Liberation of Palestine-GC (PFLP-GC),2004,0,3,0.03464994207024574,1,0,1,8.797507286071777,0,0,0,1,0,0.003701800014823675,1,0,-1350.166748046875,-1944.333251953125,-1694.611083984375,1,0,0,25.631832122802734,135.44500732421875,6617.7275390625,20466996,1,0,0
435,Popular Front for the Liberation of Palestine-GC (PFLP-GC),2005,0,3,0.03464994207024574,1,0,1,8.816247940063477,0,0,0,1,0,0.003790500108152628,1,0,-1485,-2160,-1925,1,0,0,25.682348251342773,142.46299743652344,6742.91748046875,21127798,1,0,0
436,Popular Resistance Committees,2000,0,5,0.018685465678572655,0,1,1,8.7184295654296875,0,0,0,1,0,0.004063299857079983,1,0,0,0,0,1,0,0,25.608633041381836,132.33900451660156,6114.56884765625,21643226,0,0,0
436,Popular Resistance Committees,2001,0,5,0.018685465678572655,0,1,1,8.740550994873047,0,0,0,1,0,0.004202200099825859,1,0,-0.8333333134651184,-0.6666666865348816,-0.3888888955116272,1,0,0,25.596216201782227,130.70599365234375,6251.33935546875,20908480,0,0,0
436,Popular Resistance Committees,2002,0,5,0.018685465678572655,0,1,1,8.759282112121582,0,0,0,1,0,0.003964399918913841,1,0,-6.666666507720947,-5.333333492279053,-3.1111111640930176,1,0,0,25.51962661743164,121.06900024414062,6369.537109375,19007504,0,0,0
436,Popular Resistance Committees,2003,0,5,0.018685465678572655,0,1,1,8.778313636779785,0,0,0,1,0,0.0038610000628978014,1,0,-22.5,-18,-10.5,1,0,0,25.566389083862305,126.86499786376953,6491.92041015625,19541984,0,0,0
436,Popular Resistance Committees,2004,0,5,0.018685465678572655,0,1,1,8.797507286071777,0,0,0,1,0,0.003701800014823675,1,0,-52.33333206176758,-42.66666793823242,-24.88888931274414,1,0,0,25.631832122802734,135.44500732421875,6617.7275390625,20466996,0,0,0
436,Popular Resistance Committees,2005,0,5,0.018685465678572655,0,1,1,8.816247940063477,0,0,0,1,0,0.003790500108152628,1,0,-96.16666412353516,-83.33333587646484,-48.61111068725586,1,0,0,25.682348251342773,142.46299743652344,6742.91748046875,21127798,0,0,0
438,Salafia Jihadia,1997,0,2,0.11230988800525665,1,1,0,10.26072883605957,0,0,0,1,0,0.0036957000847905874,0,0,0,0,0,0,0,0,24.39061164855957,39.14784622192383,28587.615234375,1369398.75,1,0,0
438,Salafia Jihadia,1998,0,2,0.11230988800525665,1,1,0,10.2793550491333,0,0,0,1,0,0.003825899912044406,0,0,-0.8333333134651184,-0.6666666865348816,-0.3888888955116272,0,0,0,24.456310272216797,41.80622100830078,29125.083984375,1435402.5,1,0,0
438,Salafia Jihadia,1999,0,2,0.11230988800525665,1,1,0,10.297469139099121,0,0,0,1,0,0.003853099886327982,0,0,-6.666666507720947,-5.333333492279053,-3.1111111640930176,0,0,0,24.45213508605957,41.63202667236328,29657.46484375,1403762.125,1,0,0
438,Salafia Jihadia,2000,0,2,0.11230988800525665,1,1,0,10.315070152282715,0,0,0,1,0,0.0038073998875916004,0,0,-22.5,-18,-10.5,0,0,0,24.383159637451172,38.85725021362305,30184.087890625,1287342.25,1,0,0
438,Salafia Jihadia,2001,0,2,0.11230988800525665,1,1,0,10.332282066345215,0,0,0,1,0,0.00398290017619729,0,0,-52.33333206176758,-42.66666793823242,-24.88888931274414,0,0,0,24.398542404174805,39.45957946777344,30708.109375,1284989,1,0,0
438,Salafia Jihadia,2002,0,2,0.11230988800525665,1,1,0,10.349189758300781,0,0,0,1,0,0.004012499935925007,0,0,-96.16666412353516,-83.33333587646484,-48.61111068725586,0,0,0,24.4665584564209,42.23683547973633,31231.7265625,1352369.625,1,0,0
438,Salafia Jihadia,2003,0,2,0.11230988800525665,1,1,0,10.3657865524292,0,0,0,1,0,0.003925499971956015,0,1,-153,-144,-84,0,0.11230988800525665,2,24.67574119567871,52.06406021118164,31754.3984375,1639585.75,1,0,0
438,Salafia Jihadia,2004,0,2,0.11230988800525665,1,1,0,10.382059097290039,0,0,0,1,0,0.0041426001116633415,0,0,-221.83334350585938,-227.6666717529297,-133.38888549804688,0,0,0,24.811357498168945,59.62601852416992,32275.3515625,1847416.625,1,0,0
439,Salafist Group for Call and Combat (GSPC),1996,0,0,0.11230988800525665,1,1,0,10.261302947998047,0,0,0,1,0,0.004725799895823002,1,0,0,0,0,0,0,0,24.572168350219727,46.941497802734375,28604.03125,1641079.75,1,0,0
439,Salafist Group for Call and Combat (GSPC),1997,0,0,0.11230988800525665,1,1,0,10.277928352355957,0,0,0,1,0,0.004664300009608269,1,0,-0.8333333134651184,-0.6666666865348816,-0.3888888955116272,0,0,0,24.59816551208496,48.17786407470703,29083.560546875,1656532.5,1,0,0
439,Salafist Group for Call and Combat (GSPC),1998,0,2,0.11230988800525665,1,1,0,10.293351173400879,0,0,0,1,0,0.004982800222933292,1,0,-6.666666507720947,-5.333333492279053,-3.1111111640930176,0,0,0,24.598371505737305,48.187747955322266,29535.587890625,1631514.75,1,0,0
439,Salafist Group for Call and Combat (GSPC),1999,0,2,0.11230988800525665,1,1,0,10.308279991149902,0,0,0,1,0,0.00522529985755682,1,0,-22.5,-18,-10.5,0,0,0,24.607723236083984,48.64057540893555,29979.826171875,1622443.5,1,0,0
439,Salafist Group for Call and Combat (GSPC),2000,0,2,0.11230988800525665,1,1,0,10.323159217834473,0,0,0,1,0,0.005310900043696165,1,0,-52.33333206176758,-42.66666793823242,-24.88888931274414,0,0,0,24.726778030395508,54.790245056152344,30429.23828125,1800579,1,0,0
439,Salafist Group for Call and Combat (GSPC),2001,0,2,0.11230988800525665,1,1,0,10.337679862976074,0,0,0,1,0,0.005416099913418293,1,0,-96.16666412353516,-83.33333587646484,-48.61111068725586,0,0,0,24.7259464263916,54.744712829589844,30874.314453125,1773147.5,1,0,0
439,Salafist Group for Call and Combat (GSPC),2002,0,2,0.11230988800525665,1,1,0,10.35177230834961,0,0,0,1,0,0.005234499927610159,1,0,-153,-144,-84,0,0,0,24.762102127075195,56.76028823852539,31312.48828125,1812704.5,1,0,0
439,Salafist Group for Call and Combat (GSPC),2003,0,2,0.11230988800525665,1,1,0,10.365361213684082,0,0,0,1,0,0.004952500108629465,1,0,-221.83334350585938,-227.6666717529297,-133.38888549804688,0,0,0,24.94076919555664,67.86383056640625,31740.896484375,2138056.5,1,0,0
439,Salafist Group for Call and Combat (GSPC),2004,0,2,0.11230988800525665,1,1,0,10.378406524658203,0,0,0,1,0,0.005054499953985214,1,1,-301.6666564941406,-333.3333435058594,-199.11111450195312,0,0.11230988800525665,2,25.16973304748535,85.32499694824219,32157.677734375,2653332,1,0,0
439,Salafist Group for Call and Combat (GSPC),2005,0,2,0.11230988800525665,1,1,0,10.390862464904785,0,0,0,1,0,0.005159699823707342,1,0,-391.5,-459,-283.5,0,0,0,25.359914779663086,103.197998046875,32560.73828125,3169400,1,0,0
446,Sudan People's Liberation Army,1987,0,0,0,3,1,1,10.102396965026855,0,0,0,1,0,0.001729500014334917,1,0,0,0,0,1,0,0,23.72674560546875,20.155555725097656,24401.4296875,825998.9375,0,0,1
446,Sudan People's Liberation Army,1988,0,0,0,3,1,1,10.118860244750977,0,0,0,1,0,0.0017912000184878707,1,0,-0.8333333134651184,-0.6666666865348816,-0.3888888955116272,1,0,0,23.457578659057617,15.39916706085205,24806.48046875,620771.9375,0,0,1
